#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,
58,SERNG MUSiC OFFICIAL @UCtqBOzg93aIu8V-VgjRdWnA,4.5M,-,Thailand,Music,1.3M,SERNG MUSiC OFFICIAL,5030000,3463750929,395,
59,Thibaan Channel @UCiARyB1wacrhQOhhT1K69Wg,4.3M,-,Thailand,,1.3M,Taibaan,4620000,1748092436,1022,
60,Sing Music Channel @UCbOCVDOZathZT3kmUcVo8pQ,4.3M,-,Thailand,,1.3M,Sing Music Channel,4390000,1772918144,455,
61,TAM STORY @UCO7TPCxAjB3MSeKTBv3aQiQ,4.3M,-,Thailand,,1.3M,TAM STORY,4630000,3151602910,4125,
62,ดอยแม่สลอง สื่อสังคมออนไลน์ @UCLb_G1z0A6W3BrDhW9cJmmA,4.1M,-,Thailand,,1.2M,ดอยแม่สลอง สื่อสังคมออนไลน์,5050000,2162656005,1995,
63,VOICE TV @UCpHTAE2EOwWkWGnW2HY8gRw,4.1M,-,Thailand,,1.2M,VOICE TV,5240000,6300222879,73367,
64,The Snack @UClPhAgp7q-uqKq5Qt0P8OMA,4.1M,-,Thailand,Marketing and Advertising,1.2M,The Snack,4560000,1122937003,1230,
65,Bay Riffer @UCbOo-f3InU38IZV5tREzsNg,4.1M,-,Thailand,,1.2M,Bay Riffer,4410000,1049746203,1860,
66,Wannabe Mee @UCGsvhicQf1Db3I1VfU2qN7A,4M,-,Thailand,,1.2M,MMN Channel,4220000,60387076,58,
67,QueenTubeTH @UCO5rwjHY-jcX-gmzOCSApOQ,4M,-,Thailand,,1.2M,QueenTubeTH,4090000,1120036822,579,
68,fedfeclip @UC5hVaZlIDCmnfq8vC30r-sA,4M,-,Thailand,,1.2M,fedfeclip,4070000,979429468,574,
69,Jannine Weigel @UChFzJ0bYwztKa4H4oF8fOvw,4M,-,Thailand,,1.2M,Jannine Weigel,4050000,769665000,550,
